Shelf mark	Name	Related Shelfmarks	Depository	Object	Size	Dating	Leaves/Pages	Main text	Minor text	Gatherings	Full size	Leaf size	Catch Words and Gatherings	Production Unit	Pricking	Material	Ruling	Columns	Lines	Script	Rubric	Scribe	Production	Style	Colours	Form of Initials	Size of Initials	Iconography	Place	Literature	Links to Database
AM 286 fol.			AMS	Codex	Fol.	1320	ff. 1r-23r	JyL		Unknown	Unknown	425x285	No	I	Yes	Parchment	Dry	2	39		Yes	Hand a	Unknown	Romanesque	R, B	Ornamented, pen-flourished small initials (2 lines).	Small	None	Throughout		=HYPERLÄNK("https://handrit.is/manuscript/view/da/AM02-0286/0";"HR")
AM 286 fol.			AMS	Codex	Fol.	1320	ff. 1r-23r	JyL		Unknown	Unknown	425x285	No	I	Yes	Parchment	Dry	2	39		Yes	Hand a	Unknown	Romanesque	R, B	Ornamented, pen-flourished small initials (2 lines).	Small	None	Throughout		=HYPERLÄNK("https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/27564";"NorS")
AM 3 4to			AMS	Codex	4to	1485-1500	ff. 1r-47v	JyL		Unknown	210x155x26	203x147	No	I	No	Parchment	Unknown	1	31		Yes	Hand a	Unknown	Romanesque	Unknown	Lombard-styled medium (3-4 lines) and small initials (2 lines).	Small and Medium	None. The manuscript contains nine medium initials on f. 1r1-4, f. 15v1-3, f. 48v23-25, f. 56r3-5, f. 58r20-22, f. 59r1-3, f. 59v8-10, f. 60r15-17, f. 61r1-3.	Throughout		=HYPERLÄNK("https://handrit.is/manuscript/view/da/AM04-0003/0";"HR")
AM 3 4to			AMS	Codex	4to	1485-1500	ff. 48r-50v		RB (Privilegium, King Valdemar)	Unknown	210x155x26	203x147	No	I	No	Parchment	Unknown	1	31		Yes	Hand a	Unknown	Romanesque	Unknown	Lombard-styled medium (3-4 lines) and small initials (2 lines).	Small and Medium	None. The manuscript contains nine medium initials on f. 1r1-4, f. 15v1-3, f. 48v23-25, f. 56r3-5, f. 58r20-22, f. 59r1-3, f. 59v8-10, f. 60r15-17, f. 61r1-3.	Throughout		=HYPERLÄNK("https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/7174";"NorS")
AM 3 4to			AMS	Codex	4to	1485-1500	ff. 50v-52v		RB (King Erik)	Unknown	210x155x26	203x147	No	I	No	Parchment	Unknown	1	31		Yes	Hand a	Unknown	Romanesque	Unknown	Lombard-styled medium (3-4 lines) and small initials (2 lines).	Small and Medium	None. The manuscript contains nine medium initials on f. 1r1-4, f. 15v1-3, f. 48v23-25, f. 56r3-5, f. 58r20-22, f. 59r1-3, f. 59v8-10, f. 60r15-17, f. 61r1-3.	Throughout		=HYPERLÄNK("https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/7174";"NorS")
AM 3 4to			AMS	Codex	4to	1485-1500	ff. 52v-54v		RB (King Christopher)	Unknown	210x155x26	203x147	No	I	No	Parchment	Unknown	1	31		Yes	Hand a	Unknown	Romanesque	Unknown	Lombard-styled medium (3-4 lines) and small initials (2 lines).	Small and Medium	None. The manuscript contains nine medium initials on f. 1r1-4, f. 15v1-3, f. 48v23-25, f. 56r3-5, f. 58r20-22, f. 59r1-3, f. 59v8-10, f. 60r15-17, f. 61r1-3.	Throughout		=HYPERLÄNK("https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/7174";"NorS")
AM 3 4to			AMS	Codex	4to	1485-1500	ff. 54v-56r		RB	Unknown	210x155x26	203x147	No	I	No	Parchment	Unknown	1	31		Yes	Hand a	Unknown	Romanesque	Unknown	Lombard-styled medium (3-4 lines) and small initials (2 lines).	Small and Medium	None. The manuscript contains nine medium initials on f. 1r1-4, f. 15v1-3, f. 48v23-25, f. 56r3-5, f. 58r20-22, f. 59r1-3, f. 59v8-10, f. 60r15-17, f. 61r1-3.	Throughout		=HYPERLÄNK("https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/7174";"NorS")
AM 3 4to			AMS	Codex	4to	1485-1500	ff. 56v-58r		RB (Privilegium)	Unknown	210x155x26	203x147	No	I	No	Parchment	Unknown	1	31		Yes	Hand a	Unknown	Romanesque	Unknown	Lombard-styled medium (3-4 lines) and small initials (2 lines).	Small and Medium	None. The manuscript contains nine medium initials on f. 1r1-4, f. 15v1-3, f. 48v23-25, f. 56r3-5, f. 58r20-22, f. 59r1-3, f. 59v8-10, f. 60r15-17, f. 61r1-3.	Throughout		=HYPERLÄNK("https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/7174";"NorS")
AM 3 4to			AMS	Codex	4to	1485-1500	f. 58r-v		RB (Privilegium, King Valdemar)	Unknown	210x155x26	203x147	No	I	No	Parchment	Unknown	1	31		Yes	Hand a	Unknown	Romanesque	Unknown	Lombard-styled medium (3-4 lines) and small initials (2 lines).	Small and Medium	None. The manuscript contains nine medium initials on f. 1r1-4, f. 15v1-3, f. 48v23-25, f. 56r3-5, f. 58r20-22, f. 59r1-3, f. 59v8-10, f. 60r15-17, f. 61r1-3.	Throughout		=HYPERLÄNK("https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/7174";"NorS")
AM 3 4to			AMS	Codex	4to	1485-1500	f. 59r-v		RB (King Valdemar)	Unknown	210x155x26	203x147	No	I	No	Parchment	Unknown	1	31		Yes	Hand a	Unknown	Romanesque	Unknown	Lombard-styled medium (3-4 lines) and small initials (2 lines).	Small and Medium	None. The manuscript contains nine medium initials on f. 1r1-4, f. 15v1-3, f. 48v23-25, f. 56r3-5, f. 58r20-22, f. 59r1-3, f. 59v8-10, f. 60r15-17, f. 61r1-3.	Throughout		=HYPERLÄNK("https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/7174";"NorS")
