Shelf mark	Name	Related shelfmark	Depository	Object	Size	Dating	Leaves/pages	Main text	Minor text	Gatherings	Full size	Leaf size	Catch Words and Gatherings	Production Unit	Pricking	Material	Ruling	Columns	Lines	Script	Rubric	Scribe	Production	Style	Colours	Form of Initials	Size of Initials	Iconography	Place	Literature	Links to Database
B 1			KB	Codex	Unknown	1474 (1440-1460, SGL)	ff. 1-10	UL	Kkb	Unknown	Unknown	290x200	Unknown	I	No	Parchment	Ink	1	33		Yes	Hand a	Unknown	Romanesque/Gothic	R, B	Ornamented large (8-9 lines) and small initials (2 lines). Small and partly large initials are painted with Lombard letters.	Large and small	On f. 24v, a family tree diagram is painted consisting of twenty medallions with up to two figures featured in each inner field. 	Throughout	Klemming (1881-1882:516-517); Beckman (1919:28-35); Klemming (1868-1881: 63-8); Beckman (1917:219-20); Beckman (1917:219-20); Beckman (1917:120)	=HYPERLÄNK("https://www.manuscripta.se/ms/100253";"MS (not digitalised)")
B 1			KB	Codex	Unknown	1474 (1440-1460, SGL)	f. 10r-v		Stadga om frälsejord och utgärdesbönder; gjord i Jönköping 1352 (DS. 4795)	Unknown	Unknown	290x200	Unknown	I	No	Parchment	Ink	1	33		Yes	Hand a	Unknown	Romanesque/Gothic	R, B	Ornamented large (8-9 lines) and small initials (2 lines). Small and partly large initials are painted with Lombard letters.	Large and small	On f. 24v, a family tree diagram is painted consisting of twenty medallions with up to two figures featured in each inner field. 	Throughout	Klemming (1881-1882:516-517); Beckman (1919:28-35); Klemming (1868-1881: 63-8); Beckman (1917:219-20); Beckman (1917:219-20); Beckman (1917:120)	=HYPERLÄNK("https://www.manuscripta.se/ms/100253";"MS (not digitalised)")
B 1			KB	Codex	Unknown	1474 (1440-1460, SGL)	ff. 10v-12v	ÖgL	Kkb	Unknown	Unknown	290x200	Unknown	I	No	Parchment	Ink	1	33		Yes	Hand a	Unknown	Romanesque/Gothic	R, B	Ornamented large (8-9 lines) and small initials (2 lines). Small and partly large initials are painted with Lombard letters.	Large and small	On f. 24v, a family tree diagram is painted consisting of twenty medallions with up to two figures featured in each inner field. 	Throughout	Klemming (1881-1882:516-517); Beckman (1919:28-35); Klemming (1868-1881: 63-8); Beckman (1917:219-20); Beckman (1917:219-20); Beckman (1917:120)	=HYPERLÄNK("https://www.alvin-portal.org/alvin/view.jsf?aq=%5B%5B%7B%22A_FQ%22%3A%22b5%22%7D%5D%5D&c=5&aqe=%5B%5D&af=%5B%22ARCHIVE_ORG_ID_facet%3A23%22%2C%22CRP_facet%3A1400%22%5D&searchType=TEXT&pid=alvin-record%3A472885&dswid=-5738";"AV")
B 1			KB	Codex	Unknown	1474 (1440-1460, SGL)	f.13r-71v	MEL		Unknown	Unknown	290x200	Unknown	I	No	Parchment	Ink	1	33		Yes	Hand a	Unknown	Romanesque/Gothic	R, B	Ornamented large (8-9 lines) and small initials (2 lines). Small and partly large initials are painted with Lombard letters.	Large and small	On f. 24v, a family tree diagram is painted consisting of twenty medallions with up to two figures featured in each inner field. 	Throughout	Klemming (1881-1882:516-517); Beckman (1919:28-35); Klemming (1868-1881: 63-8); Beckman (1917:219-20); Beckman (1917:219-20); Beckman (1917:120)	=HYPERLÄNK("https://www.alvin-portal.org/alvin/view.jsf?aq=%5B%5B%7B%22A_FQ%22%3A%22b5%22%7D%5D%5D&c=5&aqe=%5B%5D&af=%5B%22ARCHIVE_ORG_ID_facet%3A23%22%2C%22CRP_facet%3A1400%22%5D&searchType=TEXT&pid=alvin-record%3A472885&dswid=-5738";"AV")
B 1			KB	Codex	Unknown	1474 (1440-1460, SGL)	ff. 18v-19v	MEL	Kgb ch. 10 (UL)	Unknown	Unknown	290x200	Unknown	I	No	Parchment	Ink	1	33		Yes	Hand a	Unknown	Romanesque/Gothic	R, B	Ornamented large (8-9 lines) and small initials (2 lines). Small and partly large initials are painted with Lombard letters.	Large and small	On f. 24v, a family tree diagram is painted consisting of twenty medallions with up to two figures featured in each inner field. 	Throughout	Klemming (1881-1882:516-517); Beckman (1919:28-35); Klemming (1868-1881: 63-8); Beckman (1917:219-20); Beckman (1917:219-20); Beckman (1917:120)	=HYPERLÄNK("https://www.alvin-portal.org/alvin/view.jsf?aq=%5B%5B%7B%22A_FQ%22%3A%22b5%22%7D%5D%5D&c=5&aqe=%5B%5D&af=%5B%22ARCHIVE_ORG_ID_facet%3A23%22%2C%22CRP_facet%3A1400%22%5D&searchType=TEXT&pid=alvin-record%3A472885&dswid=-5738";"AV")
B 1			KB	Codex	Unknown	1474 (1440-1460, SGL)	f. 24v	MEL	Family tree diagram	Unknown	Unknown	290x200	Unknown	I	No	Parchment	Ink	1	33		Yes	Hand a	Unknown	Romanesque/Gothic	R, B	Ornamented large (8-9 lines) and small initials (2 lines). Small and partly large initials are painted with Lombard letters.	Large and small	On f. 24v, a family tree diagram is painted consisting of twenty medallions with up to two figures featured in each inner field. 	Throughout	Klemming (1881-1882:516-517); Beckman (1919:28-35); Klemming (1868-1881: 63-8); Beckman (1917:219-20); Beckman (1917:219-20); Beckman (1917:120)	=HYPERLÄNK("https://www.alvin-portal.org/alvin/view.jsf?aq=%5B%5B%7B%22A_FQ%22%3A%22b5%22%7D%5D%5D&c=5&aqe=%5B%5D&af=%5B%22ARCHIVE_ORG_ID_facet%3A23%22%2C%22CRP_facet%3A1400%22%5D&searchType=TEXT&pid=alvin-record%3A472885&dswid=-5738";"AV")
B 1			KB	Codex	Unknown	1474 (1440-1460, SGL)	f. 24v	MEL	Poetic verse	Unknown	Unknown	290x200	Unknown	I	No	Parchment	Ink	1	33		Yes	Hand a	Unknown	Romanesque/Gothic	R, B	Ornamented large (8-9 lines) and small initials (2 lines). Small and partly large initials are painted with Lombard letters.	Large and small	On f. 24v, a family tree diagram is painted consisting of twenty medallions with up to two figures featured in each inner field. 	Throughout	Klemming (1881-1882:516-517); Beckman (1919:28-35); Klemming (1868-1881: 63-8); Beckman (1917:219-20); Beckman (1917:219-20); Beckman (1917:120)	=HYPERLÄNK("https://www.alvin-portal.org/alvin/view.jsf?aq=%5B%5B%7B%22A_FQ%22%3A%22b5%22%7D%5D%5D&c=5&aqe=%5B%5D&af=%5B%22ARCHIVE_ORG_ID_facet%3A23%22%2C%22CRP_facet%3A1400%22%5D&searchType=TEXT&pid=alvin-record%3A472885&dswid=-5738";"AV")
B 1			KB	Codex	Unknown	1474 (1440-1460, SGL)	f. 43v	MEL	Bb ch. 36:2-3 (ÖgL)	Unknown	Unknown	290x200	Unknown	I	No	Parchment	Ink	1	33			Hand a	Unknown	Romanesque/Gothic	R, B	Ornamented large (8-9 lines) and small initials (2 lines). Small and partly large initials are painted with Lombard letters.	Large and small	On f. 24v, a family tree diagram is painted consisting of twenty medallions with up to two figures featured in each inner field. 	Throughout	Klemming (1881-1882:516-517); Beckman (1919:28-35); Klemming (1868-1881: 63-8); Beckman (1917:219-20); Beckman (1917:219-20); Beckman (1917:120)	=HYPERLÄNK("https://www.alvin-portal.org/alvin/view.jsf?aq=%5B%5B%7B%22A_FQ%22%3A%22b5%22%7D%5D%5D&c=5&aqe=%5B%5D&af=%5B%22ARCHIVE_ORG_ID_facet%3A23%22%2C%22CRP_facet%3A1400%22%5D&searchType=TEXT&pid=alvin-record%3A472885&dswid=-5738";"AV")
B 1			KB	Codex	Unknown	1474 (1440-1460, SGL)	f. 45r	MEL	Poetic verse (in Kmb)	Unknown	Unknown	290x200	Unknown	I	No	Parchment	Ink	1	33		No	Hand a	Unknown	Romanesque/Gothic	R, B	Ornamented large (8-9 lines) and small initials (2 lines). Small and partly large initials are painted with Lombard letters.	Large and small	On f. 24v, a family tree diagram is painted consisting of twenty medallions with up to two figures featured in each inner field. 	Throughout	Klemming (1881-1882:516-517); Beckman (1919:28-35); Klemming (1868-1881: 63-8); Beckman (1917:219-20); Beckman (1917:219-20); Beckman (1917:120)	=HYPERLÄNK("https://www.alvin-portal.org/alvin/view.jsf?aq=%5B%5B%7B%22A_FQ%22%3A%22b5%22%7D%5D%5D&c=5&aqe=%5B%5D&af=%5B%22ARCHIVE_ORG_ID_facet%3A23%22%2C%22CRP_facet%3A1400%22%5D&searchType=TEXT&pid=alvin-record%3A472885&dswid=-5738";"AV")
B 1			KB	Codex	Unknown	1474 (1440-1460, SGL)	ff. 50v-51r	MEL	Poetic verse (in TgB)	Unknown	Unknown	290x200	Unknown	I	No	Parchment	Ink	1	33		Yes	Hand a	Unknown	Romanesque/Gothic	R, B	Ornamented large (8-9 lines) and small initials (2 lines). Small and partly large initials are painted with Lombard letters.	Large and small	On f. 24v, a family tree diagram is painted consisting of twenty medallions with up to two figures featured in each inner field. 	Throughout	Klemming (1881-1882:516-517); Beckman (1919:28-35); Klemming (1868-1881: 63-8); Beckman (1917:219-20); Beckman (1917:219-20); Beckman (1917:120)	=HYPERLÄNK("https://www.alvin-portal.org/alvin/view.jsf?aq=%5B%5B%7B%22A_FQ%22%3A%22b5%22%7D%5D%5D&c=5&aqe=%5B%5D&af=%5B%22ARCHIVE_ORG_ID_facet%3A23%22%2C%22CRP_facet%3A1400%22%5D&searchType=TEXT&pid=alvin-record%3A472885&dswid=-5738";"AV")
