Shelf mark	Name	Related Shelfmarks	Depository	Object	Size	Dating	Leaves/Pages	Main text	Minor text	Gatherings	Full size	Leaf size	Catch Words and Gatherings	Production Unit	Pricking	Material	Ruling	Columns	Lines	Script	Rubric	Scribe	Production	Style	Colours	Form of Initials	Size of Initials	Iconography	Place	Literature	Links to Database
AM 315 a fol.			SÁM	Fragment	Fol.	1300-1350	F. 1	Grg	Vl ch. 9-17	Unknown	Unknown	280x192	None	I	Yes	Parchment	Dry	2	37	Gothic	No	Hand a	Unknown	Romanesque	R	Lombard Initials	Small	None	Throughout	Kålund 1889, 262-263	[HR](https://handrit.is/manuscript/view/is/AM02-0315a/0)
																															NorS
AM 315 b fol			SÁM	Fragment	Fol.	1240-1260	f. 1	Grg	Various contents	Unknown	Unknown	230x160	None	I	Yes	Parchment	No	1	26	Protogothic	No	Hand a	Unknown	Romanesque	R	Lombard Initials	Small	None	Throughout	Kålund 1889, 262-263	[HR](https://handrit.is/manuscript/view/is/AM02-0315b/0)
																															NorS
AM 315 c fol.			SÁM	Fragment	Fol.	1200-1225	f. 1r, f. 2	Grg	Rsþ & Ómb	Unknown	Unknown	225x90	None	I	Yes	Parchment	No	Unknown	37	Protogothic	No	Hand a	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Kålund 1889, 262-263	[HR](https://handrit.is/manuscript/view/is/AM02-0315c/8)
																															
						1465	f. 1v		Diplom 13.8.1465					II	No							Hand b								Kålund 1889, 262-263	NorS
AM 315 d fol.			SÁM	Fragment	Fol.	1150-1175	ff. 1-2	Grg	Lbþ	Unknown	Unknown	222x144	None	I	Yes	Parchment	Unknown	1	33		No	Hand a	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Kålund 1889, 262-263	[HR](https://handrit.is/manuscript/view/is/AM02-0315d/1?iabr=on)
																															NorS
AM 315 l fol.		"10" (Ólafur Halldórsson, 1904);	SÁM	Fragment	Fol.	1350-1400	f. 1	Jó	Mhb ch. 8-10	Unknown	Unknown	219x142	None	I	Yes	Parchment	Dry	1	27	Gothic	Yes	Hand a	Unknown	Romanesque	R	Lombard Initials	Small	None	Throughout	Kålund 1889, 262-263	[HR](https://handrit.is/manuscript/view/is/AM02-0315l/5)
							f. 2		Mhb ch. 20-22																						
AM 334 fol.	Staðarhólsbók Grágásar	.	SÁM	Codex	Fol.	1300	f. 1r	Jó	Mhb ch. 17	I: 8 (4b, ff.1-8); II: 3 (1b, 1f; ff. 9-11); III: 8 (4b; ff. 12-19); IV: 8 (4b; ff. 20-27); V: 8 (4b; ff. 28-35); VI: 8 (4b; ff. 36-43); VII: 8 (4b; ff. 44-51); VIII: 7 (3b, 1f; ff. 52-58); IX: 10 (5b; ff. 59-68); X: 10 (5b; ff.69-78); XI: 6 (3b; ff. 79-84); XII: 10 (5b; ff. 85-94); XIII: 5 (2b, 1f; ff. 95-100); XIV: 8 (4b; ff. 101-108)	U+J19+L18+L18	325-330x230-235	None	III	No	Parchment	Dry	2	37	Protogothic	Yes	Hand a	Kringla group	Romanesque	R, G, B, Y	Pen-flourished initials; colour-stroke initials. Large initials (6-8 lines) and minor initials (3 lines)	Small, large	None. Large initials (6-12 lines) on f. 1va1-12, f. 8rb8-13, f. 8r16-21, f. 12ra1-10, f. 19ra1-13, f. 27vb1-12, f. 32ra1-7, f. 37rb15-23, f. 40vb3-8, f. 47va23-27, f. 51rb4-11, f. 64rb20-27, f. 70va1-8, f. 91rb8-15, f. 92va1-18	Throughout		[HR](https://handrit.is/manuscript/view/is/AM02-0334/0)
						1260-1270	ff. 1v-92r	Grg	.					II								Þórarinn kaggi Egilsson (ff. 1va-69va); minor scribes (hand c: 5rb:20-37, f. 7vb:20-24, ff. 68ra:33-68rb:27, f. 89rb:18-19, f. 89vb:1-11, f. 90va:6-14; hand d: f. 19ra:15-37, f. 22vb:1-6; hand e: f. 9rb:35-37; hand f: f. 10ra:33-37; hand g: f. 21rb:1-37; hand h: f. 44ra:20-28; hand i: f. 63va:1-37)									[NorS](https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/28250)
																															
																															
																															
																															
																						Hand b (ff. 70ra-87ra:31); minor scribe (hand k: ff. 91ra:2-10)									
																															
																															
																															
																															
																															
						1271-1281	ff. 92r-108r	Js	.					III								Hand l (ff. 92va-108rb), minor scribe (hand m: f. 98rb:18-37)									
																															
																															
AM 343 fol.	Svalbarðsbók	"II.1/y" (Ólafur Halldórsson, 1904)	SÁM	Codex	Fol.	1330-1340	ff. 1v-89v	Jó	.	I:6 (3b, ff. 1-6); II:7 (3b, 1f, ff. 7-13); III:8 (4b, ff. 14-21); IV:8 (4b, ff. 22-29); V:8 (4b, ff. 30-37); VI:8 (4b, ff. 38-45); VII:7 (3b, 1f, ff. 46-52); VIII:7 (3b, 1f, ff. 53-59); IX:8 (4b, ff. 60-67); X:10 (5b, ff. 68-77); XI:7 (3b, 1f, ff. 78-84); XII:3 (3f, ff. 85-87); XIII:2 (1b, ff. 88-89)	Unknown	278x195	None	I	Yes	Parchment	Dry	2	28	Gothic	Yes	Hand a (ff. 1r-89v)	Helgafell area	Roamensque; Gothic	R, B, G, Y	Historiated and pen-flourished initials; colour-stroke initials. Large initials (6-8 lines) and minor initials (3 lines)	Small, Medium, Large	4 historiated initials at f. 1va1-10 (Bréf Magnúss konungs, ch. 1; An enthroned figure seated on the left of the initial, holding a parchment in the middle with one hand and the other is shown with a demanding gesture, a further figure stands towards the first figure on the right part of the initial and holding the partchment with one hand), f. f. 2va16-22 (Þingfararbálkr, ch. 1; Christ in Majesty with raised arms, the heraldig left one showing a blessing), f. 14va2-8 (Mannhelgisbálkr, ch. 1; A killing scene with one figure throwing a sword into the head of a seating figure while another figure stands behind the seated one and holding a a shield [?] up), f. 84rb16-20 (Þjófabálkr, ch. 1; Binding of one figure in the middle, two further figures flank the middle figure); Medium and large ornamented initials (5-7 lines) at f. 6rb18-23, f. 24rb13-19, f. 33rb16-20, f. 37vb21-24, f. 41rb3-7, f. 63va13-17, f. 68vb21-25, f. 77va17-22	Throughout		[HR](https://handrit.is/manuscript/view/is/AM02-0343/0)
																															[NorS](https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/28365)
						1600-1700	f. 90r			XIV:2 (1b, ff. 90-91)												Hand b (f. 90r)									
AM 344 fol.	.	"I.22/p" (Ólafur Halldórsson, 1904)	SÁM	Codex	Fol.	1375-1400	f. 1ra	Bible	John 1: 1-14	I: 8 (4b, ff. 1-8); II: 8 (4b, ff. 9-16); III: 8 (4b, ff. 17-24); IV: 8 (4b, ff. 25-32); V: 8 (4b, ff. 25-32); VI: 8 (4b, ff. 41-48); VII: 8 (4b, ff. 49-56); VIII: 8 (4b, ff. 57-64); IX: 8 (4b, ff. 65-72); X (4b, ff. 73-79)	Unknown	280x200	None	I	Yes	Parchment	Dry	2	34	Gothic	Yes	Hand a	Skagafjörður / Reynistaður	Romanesque, Gothic	B, R, G	Pen-flourished initials; colour-stroke initials. Large initials (5-7 lines) and minor initials (3 lines)	Small, Medium, Large	One full-leaf miniature on f. 1v (Calvary Group. Above the cross, inscriptions indicate the names of the two bystanders, as well as the usual cross-inscription (iesus nazarenus rex iudaeorum), ornamented, at times zoomorphic large initials on f. 2ra1-6, f. 2vb15-21, f. 5va22-28, f. 9ra2-7, f. 16rb4-9, f. 17va29-32, f. 22rb26-29, f. 25rb2-6, f. 27va14-19, f. 41ra9-13, f. 44rb19-23, f. 54va2-6, f. 63rb1-5	Throughout		[HR](https://handrit.is/manuscript/view/is/AM02-0344/0)
							f. 1rb	Gregorian Chant	Protector in te sperantium																						[NorS](https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/28377)
							ff. 2r-58r	Jó																							
							ff. 58va1-59vb12	.	RBEM 1294																						
							ff. 59vb13-60rb5		RBHM 1305																						
							ff. 60rb6-61va7		RBHM 1314																						
							f. 61va8-33	Jó																							
							ff. 61va34-63ra32	.	SVK 1247																						
							ff. 63ra33-73v	KAB																							
							f. 74ra-rb21	.	SMB 1224																						
							ff. 74rb21.75rb8		SAB 1269																						
							ff. 75rb8-76ra4 (& f. 79ra8-35)		SJB 1345																						
							ff. 76ra-78ra		SEE 1323																						
							Ff. 78ra-79ra		SPE 1342																						
AM 346 fol.	Staðarfellsbók	"I.6/o" (Ólafur Halldórsson, 1904)	SÁM	Codex	Fol.	1340-1360	f.1r	Js	Krb	I: 4 (2b, ff. 1-4); II: 8 (4b, ff. 5-12, ff. 8-9 loose); III: 8 (4b, ff. 13-20); IV: 8 (4b, ff. 21-28); V: 8 (4b, ff. 29-36); VI: 6 (3b, ff. 37-42); VII: 6 (3b, ff. 43-48); VIII: 8 (4b, ff. 49-56); IX: 8 (4b, ff. 57-64); X: 8 (4b, ff. 65-72); XI: 8 (4b, ff. 73-80); XII: 5 (2b, 1f, ff. 81-85)	Unknown	248x180	None	I	Yes	Parchment	Dry	1	31-32	Gothic	Yes	Hand a	Barðastrandasýsla area	Romanesque	G, R, B	Pen-flourished initials; colour-stroke initials. Large initials (5-7 lines) and minor initials (3 lines)	Small, Medium, Large	Ornamented, at times zoomorphic large initials on f. 13r12-17, f. 24v1-4, f. 25r22-28, f. 28r18-23, f. 31r (extended into the lower margin), f. 31v16-21, f. 40r15-20, f. 43v29-32, f. 46v23-27, f. 49r21-26, f. 62v28-32, f. 66r16-20, f. 71r26-31, f. 76v17-21	Throughout	Winroth (2018)	[HR](https://handrit.is/manuscript/view/is/AM02-0346/0)
							ff.1r-13v	KAB	part. (until ch. 34)																					Jacobsen (1961:77-88)	[NorS](https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/28415)
							ff.13r-24r	Grg	KLÞ																					Widding (1960)	
							ff.24v-80v	Jó	part. (Kge 3-14 cut out)																						
							ff.80v-82r		RBEM 1294																						
							f. 82r-v		RBHM 1305																						
							ff. 82v-84r		RBHM 1314																						
							f. 84r	Jó	Lbb ch. 3																						
							f.85r		Legal formulas (On the Héraðsþing and election of Eiríkr Torfason)					II	No				Unknown		No	Hand b	Unknown	None	None	None	None	None	None		
