Shelf mark	Name	Related Shelfmarks	Depository	Object	Size	Dating	Leaves/Pages	Main text	Minor text	Gatherings	Full size	Leaf size	Catch Words and Gatherings	Production Unit	Pricking	Material	Ruling	Columns	Lines	Script	Rubric	Scribe	Production	Style	Colours	Form of Initials	Size of Initials	Iconography	Place	Literature	Links to Database
B 1			KB	Codex	Unknown	1474 (1440-1460: SGL)	ff. 1-10	UL	Kkb	Unknown	310x210x60	290x200	Unknown	I	No	Parchment	Ink	1	33	Semihybrida	Yes	Hand a	Unknown	Romanesque/Gothic	R; B	Ornamented large (8-9 lines) and small initials (2 lines). Small and partly large initials are painted with Lombard letters.	Large and small	None. One large and ornamented initial on f. 11v1-8. On f. 24v: a family tree diagram is painted consisting of twenty medallions with up to two figures featured in each inner field.	Throughout	Klemming (1881-1882:516-517); Beckman (1919:28-35); Klemming (1868-1881: 63-8); Beckman (1917:219-20); Beckman (1917:219-20); Beckman (1917:120)	[MS (not digitalised)](https://www.manuscripta.se/ms/100253)
							f. 10r-v		Stadga om frälsejord och utgärdesbönder; gjord i Jönköping 1352 (DS. 4795)																						
							ff. 10v-12v	ÖgL	Kkb																						[AV](https://www.alvin-portal.org/alvin/view.jsf?aq=%5B%5B%7B%22A_FQ%22%3A%22b5%22%7D%5D%5D&c=5&aqe=%5B%5D&af=%5B%22ARCHIVE_ORG_ID_facet%3A23%22%2C%22CRP_facet%3A1400%22%5D&searchType=TEXT&pid=alvin-record%3A472885&dswid=-5738)
							f.13r-71v	MEL																							
							ff. 18v-19v		Kgb ch. 10 (UL)																						
							f. 24v		Family tree diagram																						
							f. 24v		Poetic verse																						
							f. 43v		Bb ch. 36:2-3 (ÖgL)																						
							f. 45r		Poetic verse (in Kmb)												No										
							ff. 50v-51r		Poetic verse (in TgB)												Yes										
							ff. 57-63		Eb ch. 27																						
							ff. 72r-123v	MEStL																							
							f. 79r		Kgb ch. 26																						
							f. 91r		Poetic verse (in Bb)																						
							f. 96r		Poetic verse (in Bb)																						
							ff. 124r-125r		Kalmar recess (1474)																						
							f. 125v	KrL	Jb ch. 23																						
							f. 126r-v																								
							f. 127r	EPG	Poetic verse																						
							ff. 127r-129r																								
							ff. 130r-131v		Family tree																						
							f. 132		About the meaning of the oath and about perjury																						
B 2			KB	Codex	Unknown	1450-1500	ff. 1-11v	UL	Kkb	Unknown	240x170x60	225x160	Custodes on f. 9v (rest); f. 29v; f. 39v; f. 49v; f. 68v	I	No	Parchment	None	1	32-34	Cursiva R	No	Hand a	Unknown	Romanesque	R; B; G	Ornamented large (3-8 lines) and small initials (2 lines). Small and partly large initials are painted with Lombard letters.	Large and small	None. Detaactable ornamented large initials on f. 1r10-12; f. 13r2-6; f. 21v14-18; f. 26r13-16; f. 29r15-20; f. 35v25-28; f. 37v4-9; f. 71r19-24; f. 79r1-8; f. 85v1-6; f. 97v4-7; f. 142v5-9.	Throughout	Schlyter (1834:XXI-XXII; 1838:XL-XLI; 1862:XL; 1865:XIX-XX); Klemming (1868-1881:57); Åström (2003; 2013); Beckman (1917:54); Wiktorsson (1985:118-134); Geete (1900-1916:243-259)	MS (not digitalised)
							ff. 12r-77r	MEL																							[Av](https://www.alvin-portal.org/alvin/view.jsf?dswid=3733&searchType=TEXT&query=&aq=%5B%5B%7B%22A_FQ%22%3A%22b5%22%7D%5D%5D&aqe=%5B%5D&af=%5B%22ARCHIVE_ORG_ID_facet%3A23%22%2C%22CRP_facet%3A1400%22%5D&pid=alvin-record%3A472903&c=17)
						1623?	f. 77v		Genealogic annotation for Count Claus Bjekle till Wijck et al. (d. 1623).													Further scribes									
							f. 78r-v		Legal formulas																						
						1450-1500	ff. 79-142r	MEStL														Hand a									
							ff. 142v-144v	MEgr													Yes										
						Unknown	f. 144v	Bible	John I												No										
							f. 145r		Enormia crimina				None	II					Various			Further scribes		Unknown	Unknown	Unknown	Unknown	Unknown	Unknown		
							f. 146																								
							ff. 147r-157v	MEStL	ToC																						
							f. 158r-v		RB 1507																						
							f. 158v		Genealogic annotation																						
