KJE		Kristinréttr Jóns Erkibiskups
KSS		Kristinréttr Sverris Sigurdarsonar
KMh		Kristenréttr Magnús konungs
KAB		Kristinréttr Árna biskups
K		Kristinréttr
K (BorgL-e)		Kristenréttr Borgarþings
K (BorgL-y)		Kristenréttr Borgarþings
K (E)		Kristenréttr Eiðsífaþings
K (GuL-e)		Kristenréttr Gulaþings
K (GuL-y)		Kristenréttr Gulaþings
K (F)		Kristenréttr Frostuþings
Fml		Farmannalǫg
Bja		Bjarkejarréttr
BorgL		Borgatingsloven
Borgþ		Borgaþing
Eidsþ		Eidsivaþing
EidsL		Eidsivatingloven
Gulaþ		Gulaþing
Frþ		Frostuþing
GuL		Gulatingsloven
GuL	Krb	Kristendomsbolk
GuL	Kpb	Kjøpsbolk
GuL	Kvb	Kvinnebolk
GuL	Løb	Løysingslov
GuL	Llb	Landsleiebolk
GuL	Arb	Arvebolk 
GuL	Va	Blandet innhold
GuL	Mhb	Mannhelgebolk
GuL	Tjb	Tjuvbolk
GuL	Jsb	Jordskiftebolk
GuL	Sab	Saktall 
GuL	Kvr	Kvalretten 
GuL	Leb	Leidangsbolken 
GuL	Reb	Rettarbøter 
GuL	Tfb	Tingfarebolken 
GuL	Trm	Trygdemålet 
GuL	Olb	Odelsløysingsbolken
FrL		Frostatingsloven
FrL	Intr	Innledning
FrL	Tfb	Tingfarebolk
FrL	KrbA	Kristendomsbolk I
FrL	KrbB	Kristendomsbolk II
FrL	Mhb	Mannhelgebolk 
FrL	Var	Bolk om ymse emne
FrL	Sab	Sakøyrebolk
FrL	Leb	Leidangsbolk
FrL	ArbA	Fyrste arvebolk
FrL	ArbB	Andre arvebolk
FrL	Rgb	Rettargangsbolk
FrL	Kvb	Kvinnebolk
FrL	Jkb	Jordkaupabolk
FrL	LlbA	Landsleiebolk 1
FrL	LlbB	Landsleiebolk 2 + Tjuvbolk
FrL	Bvb	Brotsverkbolk
FrL	R	Retterbøter
Js		Járnsi∂a
Js	þfb	Þingfararbálkr
Js	Kdb	Kristindómsbálkr
Js	Mah	Mannhelgi
Js	Ert	Erfðatal
Js	Llb	Landsleiebolk
Js	Kab	Kaupabálkr
Js	þjb	Þjófabálkr
Js	Kvg	Kvennagiftingar
Js	Lbb	Landabrigðabálkr
Js	Rkb	Rekabálkr
MLL		Magnus Lagabøtes Landslov
MLL	Pro	Prolog
MLL	Tfb	Tingfarebolk
MLL	Krb	Kristendomsbolk
MLL	Lvb	Landevernsbolk
MLL	Mhb	Mannhelgebolk
MLL	Arb	Arvebolk
MLL	Olb	Odelsbolk
MLL	Llb	Landsleiebolk
MLL	Kab	Kjøpsbolk
MLL	Tjb	Tjuvbolk
MLL	Epi	Epilog
ByL		Byloven
ByL	Pro	Prolog
ByL	Tfb	Tingfarebolk
ByL	Krb	Kristendomsbolk
ByL	Lvb	Landevernsbolk
ByL	Mhb	Mannhelgebolk
ByL	Arb	Arvebolk
